repo_id,project,last_update,developer,fork_repo,update_status,qto_desatualizado,disponivel
"NVIDIA-AI-IOT/jetson-cloudnative-demo
","jetson-cloudnative-demo
",on 15 Oct 2020,307509256,"307509256/jetson-cloudnative-demo
",ATUALIZADO,up,
"NVIDIA-AI-IOT/jetson-cloudnative-demo
","jetson-cloudnative-demo
",on 15 Oct 2020,AnbuKumar-maker,"AnbuKumar-maker/jetson-cloudnative-demo
",DESATUALIZADO,2,
"NVIDIA-AI-IOT/jetson-cloudnative-demo
","jetson-cloudnative-demo
",on 15 Oct 2020,andrewcheny,"andrewcheny/jetson-cloudnative-demo
",ATUALIZADO,up,
"NVIDIA-AI-IOT/jetson-cloudnative-demo
","jetson-cloudnative-demo
",on 15 Oct 2020,bblwg2020,"bblwg2020/jetson-cloudnative-demo
",ATUALIZADO,up,
"NVIDIA-AI-IOT/jetson-cloudnative-demo
","jetson-cloudnative-demo
",on 15 Oct 2020,bobby20180331,"bobby20180331/jetson-cloudnative-demo
",ATUALIZADO,up,
"NVIDIA-AI-IOT/jetson-cloudnative-demo
","jetson-cloudnative-demo
",on 15 Oct 2020,Bvgo,"Bvgo/jetson-cloudnative-demo
",DESATUALIZADO,2,
"NVIDIA-AI-IOT/jetson-cloudnative-demo
","jetson-cloudnative-demo
",on 15 Oct 2020,Chomolungma,"Chomolungma/jetson-cloudnative-demo
",DESATUALIZADO,2,
"NVIDIA-AI-IOT/jetson-cloudnative-demo
","jetson-cloudnative-demo
",on 15 Oct 2020,ClassNotDefined,"ClassNotDefined/jetson-cloudnative-demo
",ATUALIZADO,up,
"NVIDIA-AI-IOT/jetson-cloudnative-demo
","jetson-cloudnative-demo
",on 15 Oct 2020,Cobionix,"Cobionix/jetson-cloudnative-demo
",ATUALIZADO,up,
"NVIDIA-AI-IOT/jetson-cloudnative-demo
","jetson-cloudnative-demo
",on 15 Oct 2020,DreamForTek,"DreamForTek/jetson-cloudnative-demo
",DESATUALIZADO,2,
"NVIDIA-AI-IOT/jetson-cloudnative-demo
","jetson-cloudnative-demo
",on 15 Oct 2020,evsenin,"evsenin/jetson-cloudnative-demo
",DESATUALIZADO,2,
