name,description,developer,commits_url,watchers,forks,is_fork,created_at,updated_at
jetbot,An educational AI robot based on NVIDIA Jetson Nano.,0884-sasaharadaisuke,https://api.github.com/repos/0884-sasaharadaisuke/jetbot/commits,0,0,1,2020-02-18T06:49:31Z,2020-02-18T06:49:32Z
HIDMediaController-ArduinoMicroPro,https://www.bilibili.com/video/av33885028/,1429837735,https://api.github.com/repos/1429837735/HIDMediaController-ArduinoMicroPro/commits,0,0,1,2020-11-12T13:32:29Z,2020-11-12T13:32:31Z
jetbot,An educational AI robot based on NVIDIA Jetson Nano.,1429837735,https://api.github.com/repos/1429837735/jetbot/commits,0,0,1,2020-11-12T13:30:49Z,2020-11-12T13:30:50Z
Twantch,基于STM32的电子腕表设计。搭载了MPU6050和温湿度传感器，以及一块1.14寸全彩显示屏。,1429837735,https://api.github.com/repos/1429837735/Twantch/commits,0,0,1,2020-11-12T13:29:24Z,2020-11-12T13:29:25Z
DRF4463,DRF4463 ile beacon denemesi,18476200657,https://api.github.com/repos/18476200657/DRF4463/commits,0,0,1,2023-07-10T07:31:27Z,2023-07-10T07:31:27Z
GPUMD,Graphics Processing Units Molecular Dynamics,18476200657,https://api.github.com/repos/18476200657/GPUMD/commits,0,0,1,2023-02-03T09:23:59Z,2023-02-03T09:22:39Z
jetbot,An educational AI robot based on NVIDIA Jetson Nano.,18476200657,https://api.github.com/repos/18476200657/jetbot/commits,0,0,1,2021-03-06T18:14:39Z,2021-03-06T18:14:40Z
text1,测试文件1,18476200657,https://api.github.com/repos/18476200657/text1/commits,0,0,0,2021-02-23T09:57:31Z,2021-02-23T13:35:30Z
Hello-World,Just create a new repository,18901180429,https://api.github.com/repos/18901180429/Hello-World/commits,1,0,0,2016-09-08T08:53:53Z,2016-12-08T05:27:13Z
redtail,AI framework for autonomous mobile robotics.,18901180429,https://api.github.com/repos/18901180429/redtail/commits,0,0,1,2017-09-08T15:54:25Z,2019-10-22T09:00:25Z
jetbot,An educational AI robot based on NVIDIA Jetson Nano.,BadLuckpk,https://api.github.com/repos/BadLuckpk/jetbot/commits,0,0,1,2021-11-28T01:00:38Z,2021-11-28T01:00:39Z
rdbox,RDBOX is an advanced IT platform for robotics and IoT developers that highly integrates cloud-native and edge computing technologies.,Bdjdsv74,https://api.github.com/repos/Bdjdsv74/rdbox/commits,1,1,1,2022-01-17T12:37:13Z,2022-01-18T14:31:58Z
aws-iot-device-sdk-cpp,SDK for connecting to AWS IoT from a device using C++,Braingrid,https://api.github.com/repos/Braingrid/aws-iot-device-sdk-cpp/commits,0,0,1,2018-12-01T01:01:18Z,2018-12-01T01:01:21Z
cicd-testing,Test CI/CD for new UI work,Braingrid,https://api.github.com/repos/Braingrid/cicd-testing/commits,0,0,0,2019-04-25T14:54:45Z,2019-04-26T15:37:24Z
freemodbus,BSD licensed MODBUS RTU/ASCII and TCP slave,Braingrid,https://api.github.com/repos/Braingrid/freemodbus/commits,0,0,1,2019-03-18T18:36:07Z,2019-03-18T18:36:10Z
jetbot,An educational AI robot based on NVIDIA Jetson Nano.,Chen-Youhui,https://api.github.com/repos/Chen-Youhui/jetbot/commits,0,0,1,2020-07-13T01:35:07Z,2020-07-13T01:35:08Z
python_nano,,Chen-Youhui,https://api.github.com/repos/Chen-Youhui/python_nano/commits,0,0,0,2020-01-14T03:08:39Z,2020-01-14T03:08:43Z
jetbot,An educational AI robot based on NVIDIA Jetson Nano.,Cnys,https://api.github.com/repos/Cnys/jetbot/commits,0,0,1,2020-11-16T13:17:20Z,2020-11-16T13:17:22Z
jetson-cloudnative-demo,Multi-container demo for Jetson Xavier NX and Jetson AGX Xavier,Cobionix,https://api.github.com/repos/Cobionix/jetson-cloudnative-demo/commits,0,0,1,2021-05-06T10:57:42Z,2021-05-06T10:57:43Z
jetbot,An educational AI robot based on NVIDIA Jetson Nano.,Cool-hand-Kyle,https://api.github.com/repos/Cool-hand-Kyle/jetbot/commits,0,0,1,2022-10-11T14:17:08Z,2022-10-10T09:56:25Z
